,Affiliation Country,Application Country,aff app count,Affiliation count,Application count
0,Australia,Australia,2,7,31
1,Australia,Austria,1,7,9
2,Australia,Botswana,1,7,28
3,Australia,Brasil,1,7,31
4,Australia,Canada,1,7,33
5,Australia,Chile,1,7,29
6,Australia,China,5,7,116
7,Australia,Croatia,1,7,28
8,Australia,Czech republic,1,7,29
9,Australia,Denmark,1,7,28
10,Australia,Finland,1,7,29
11,Australia,France,1,7,31
12,Australia,Germany,1,7,31
13,Australia,Ireland,1,7,28
14,Australia,Israel,1,7,28
15,Australia,Italy,1,7,31
16,Australia,Japan,1,7,36
17,Australia,Mexico,1,7,34
18,Australia,Netherlands,1,7,31
19,Australia,Poland,1,7,28
20,Australia,Portugal,1,7,30
21,Australia,Romania,1,7,28
22,Australia,Russia,1,7,28
23,Australia,Scotland,1,7,28
24,Australia,Singapore,1,7,35
25,Australia,Slovakia,1,7,28
26,Australia,South africa,1,7,28
27,Australia,Spain,1,7,29
28,Australia,Sweden,1,7,29
29,Australia,Thailand,1,7,28
30,Australia,UK,1,7,48
31,Australia,USA,2,7,66
32,Australia,Ukraine,1,7,28
33,Austria,Austria,1,1,9
34,Austria,USA,1,1,66
35,Bangladesh,Bangladesh,1,1,1
36,Belgium,Belgium,1,1,1
37,Brasil,Australia,2,6,31
38,Brasil,Botswana,2,6,28
39,Brasil,Brasil,4,6,31
40,Brasil,Canada,2,6,33
41,Brasil,Chile,2,6,29
42,Brasil,China,2,6,116
43,Brasil,Croatia,2,6,28
44,Brasil,Czech republic,2,6,29
45,Brasil,Denmark,2,6,28
46,Brasil,Finland,2,6,29
47,Brasil,France,2,6,31
48,Brasil,Germany,2,6,31
49,Brasil,Ireland,2,6,28
50,Brasil,Israel,2,6,28
51,Brasil,Italy,2,6,31
52,Brasil,Japan,2,6,36
53,Brasil,Mexico,2,6,34
54,Brasil,Netherlands,2,6,31
55,Brasil,Poland,2,6,28
56,Brasil,Portugal,2,6,30
57,Brasil,Romania,2,6,28
58,Brasil,Russia,2,6,28
59,Brasil,Scotland,2,6,28
60,Brasil,Singapore,2,6,35
61,Brasil,Slovakia,2,6,28
62,Brasil,South africa,2,6,28
63,Brasil,Spain,2,6,29
64,Brasil,Sweden,2,6,29
65,Brasil,Thailand,2,6,28
66,Brasil,UK,3,6,48
67,Brasil,USA,4,6,66
68,Brasil,Ukraine,2,6,28
69,Canada,Australia,1,7,31
70,Canada,Austria,1,7,9
71,Canada,Botswana,1,7,28
72,Canada,Brasil,1,7,31
73,Canada,Canada,3,7,33
74,Canada,Chile,1,7,29
75,Canada,China,1,7,116
76,Canada,Croatia,1,7,28
77,Canada,Czech republic,1,7,29
78,Canada,Denmark,1,7,28
79,Canada,Finland,1,7,29
80,Canada,France,1,7,31
81,Canada,Germany,1,7,31
82,Canada,Ireland,1,7,28
83,Canada,Israel,1,7,28
84,Canada,Italy,1,7,31
85,Canada,Japan,1,7,36
86,Canada,Mexico,1,7,34
87,Canada,Netherlands,1,7,31
88,Canada,Poland,1,7,28
89,Canada,Portugal,1,7,30
90,Canada,Romania,1,7,28
91,Canada,Russia,1,7,28
92,Canada,Scotland,1,7,28
93,Canada,Singapore,1,7,35
94,Canada,Slovakia,1,7,28
95,Canada,South africa,1,7,28
96,Canada,Spain,1,7,29
97,Canada,Sweden,1,7,29
98,Canada,Thailand,1,7,28
99,Canada,UK,3,7,48
100,Canada,USA,4,7,66
101,Canada,Ukraine,1,7,28
102,Chile,Australia,1,3,31
103,Chile,Austria,1,3,9
104,Chile,Botswana,1,3,28
105,Chile,Brasil,1,3,31
106,Chile,Canada,1,3,33
107,Chile,Chile,2,3,29
108,Chile,China,1,3,116
109,Chile,Croatia,1,3,28
110,Chile,Czech republic,1,3,29
111,Chile,Denmark,1,3,28
112,Chile,Finland,1,3,29
113,Chile,France,1,3,31
114,Chile,Germany,1,3,31
115,Chile,Ireland,1,3,28
116,Chile,Israel,1,3,28
117,Chile,Italy,1,3,31
