,Affiliation Country,Application Country,count
0,Australia,Australia,2
1,Australia,Austria,1
2,Australia,Botswana,1
3,Australia,Brasil,1
4,Australia,Canada,1
5,Australia,Chile,1
6,Australia,China,5
7,Australia,Croatia,1
8,Australia,Czech republic,1
9,Australia,Denmark,1
10,Australia,Finland,1
11,Australia,France,1
12,Australia,Germany,1
13,Australia,Ireland,1
14,Australia,Israel,1
15,Australia,Italy,1
16,Australia,Japan,1
17,Australia,Mexico,1
18,Australia,Netherlands,1
19,Australia,Poland,1
20,Australia,Portugal,1
21,Australia,Romania,1
22,Australia,Russia,1
23,Australia,Scotland,1
24,Australia,Singapore,1
25,Australia,Slovakia,1
26,Australia,South africa,1
27,Australia,Spain,1
28,Australia,Sweden,1
29,Australia,Thailand,1
30,Australia,UK,1
31,Australia,USA,2
32,Australia,Ukraine,1
33,Austria,Austria,1
34,Austria,USA,1
35,Bangladesh,Bangladesh,1
36,Belgium,Belgium,1
37,Brasil,Australia,2
38,Brasil,Botswana,2
39,Brasil,Brasil,4
40,Brasil,Canada,2
41,Brasil,Chile,2
42,Brasil,China,2
43,Brasil,Croatia,2
44,Brasil,Czech republic,2
45,Brasil,Denmark,2
46,Brasil,Finland,2
47,Brasil,France,2
48,Brasil,Germany,2
49,Brasil,Ireland,2
50,Brasil,Israel,2
51,Brasil,Italy,2
52,Brasil,Japan,2
53,Brasil,Mexico,2
54,Brasil,Netherlands,2
55,Brasil,Poland,2
56,Brasil,Portugal,2
57,Brasil,Romania,2
58,Brasil,Russia,2
59,Brasil,Scotland,2
60,Brasil,Singapore,2
61,Brasil,Slovakia,2
62,Brasil,South africa,2
63,Brasil,Spain,2
64,Brasil,Sweden,2
65,Brasil,Thailand,2
66,Brasil,UK,3
67,Brasil,USA,4
68,Brasil,Ukraine,2
69,Canada,Australia,1
70,Canada,Austria,1
71,Canada,Botswana,1
72,Canada,Brasil,1
73,Canada,Canada,3
74,Canada,Chile,1
75,Canada,China,1
76,Canada,Croatia,1
77,Canada,Czech republic,1
78,Canada,Denmark,1
79,Canada,Finland,1
80,Canada,France,1
81,Canada,Germany,1
82,Canada,Ireland,1
83,Canada,Israel,1
84,Canada,Italy,1
85,Canada,Japan,1
86,Canada,Mexico,1
87,Canada,Netherlands,1
88,Canada,Poland,1
89,Canada,Portugal,1
90,Canada,Romania,1
91,Canada,Russia,1
92,Canada,Scotland,1
93,Canada,Singapore,1
94,Canada,Slovakia,1
95,Canada,South africa,1
96,Canada,Spain,1
97,Canada,Sweden,1
98,Canada,Thailand,1
99,Canada,UK,3
100,Canada,USA,4
101,Canada,Ukraine,1
102,Chile,Australia,1
103,Chile,Austria,1
104,Chile,Botswana,1
105,Chile,Brasil,1
106,Chile,Canada,1
107,Chile,Chile,2
108,Chile,China,1
109,Chile,Croatia,1
110,Chile,Czech republic,1
111,Chile,Denmark,1
112,Chile,Finland,1
113,Chile,France,1
114,Chile,Germany,1
115,Chile,Ireland,1
116,Chile,Israel,1
117,Chile,Italy,1
118,Chile,Japan,1
119,Chile,Mexico,1
120,Chile,Netherlands,1
121,Chile,Poland,1
122,Chile,Portugal,1
123,Chile,Romania,1
124,Chile,Russia,1
125,Chile,Scotland,1
126,Chile,Singapore,1
127,Chile,Slovakia,1
128,Chile,South africa,1
129,Chile,Spain,1
130,Chile,Sweden,1
131,Chile,Thailand,1
132,Chile,UK,1
133,Chile,USA,2
134,Chile,Ukraine,1
135,China,Australia,15
136,China,Austria,1
137,China,Botswana,14
138,China,Brasil,14
139,China,Canada,15
140,China,Chile,14
141,China,China,97
142,China,Croatia,14
143,China,Czech republic,14
144,China,Denmark,14
145,China,Finland,14
146,China,France,15
147,China,Germany,14
148,China,Ireland,14
149,China,Israel,14
150,China,Italy,14
151,China,Japan,16
152,China,Mexico,14
153,China,Netherlands,16
154,China,Poland,14
155,China,Portugal,14
156,China,Romania,14
